Building,Floor,Room,IP,,,,,,,,,,,,,,,,,,,,
SGMH,1,1402,10.64.63.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Switch 1,,,,,,,,,,,,,,,,,Switch 2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Port,vLAN,Dj,Alias,Room,,Port,vLAN,Dj,Alias,Room,,,Port,vLAN,Dj,Alias,Room,,Port,vLAN,Dj,Alias,Room
1/1/1,103,D040,R+DJ,R2404,,1/1/2,103,D038,R+DJ,R2404,,,2/1/1,103,D062,R+DJ,R1406,,2/1/2,103,D074,R+DJ,R2405
1/1/3,777,D018,R+DJ,R2404A,,1/1/4,777,D042,Xerox2404,R2404,,,2/1/3,103,D064,R+DJ,R1406,,2/1/4,103,D058,R+DJ,R2406
1/1/5,103,D043,R+DJ,R2404,,1/1/6,103,D039,R+DJ,R2404,,,2/1/5,103,D032,R+DJ,R2404A,,2/1/6,103,D060,R+DJ,R2406
1/1/7,103,D041,R+DJ,R2404,,1/1/8,103,D037,R+DJ,R2404,,,2/1/7,103,D063,R+DJ,R2405,,2/1/8,103,D064,R+DJ,R2405
1/1/9,103,D011,R+DJ,R2401,,1/1/10,103,D054,R+DJ,R2406,,,2/1/9,103,D065,R+DJ,R2405,,2/1/10,103,D014,R+DJ,
1/1/11,103,D025,R+DJ,R1406,,1/1/12,103,D004,R+DJ,R2405,,,2/1/11,,,,,,2/1/12,,,,
1/1/13,103,D049,R+DJ,R2405,,1/1/14,3,D002,R+DJ,R2405,,,2/1/13,3,D071,R+DJ,R1401,,2/1/14,3,D058,R+DJ,R1401
1/1/15,,,,,,1/1/16,3,D012,R+DJ,R1405,,,2/1/15,,,,,,2/1/16,,,,
1/1/17,3,D059,R+DJ,R1401,,1/1/18,3,D016,R+DJ,R2404A,,,2/1/17,,,,,,2/1/18,,,,
1/1/19,3,D041,R+DJ,R1401,,1/1/20,3,D046,R+DJ,R2404C,,,2/1/19,,,,,,2/1/20,3,D010,R+DJ,R1407
1/1/21,3,D048,R+DJ,R1401,,1/1/22,203,D042,R+DJ,R1401,,,2/1/21,,,,,,2/1/22,3,D056,R+DJ,R1401
1/1/23,3,D004,R+DJ,R1409,,1/1/24,3,D044,R+DJ,R2404C,,,2/1/23,,,,,,2/1/24,,,,
1/1/25,3,D0051,R+DJ,R1401,,1/1/26,3,D039,R+DJ,R1401,,,2/1/25,,,,,,2/1/26,,,,
1/1/27,3,D047,R+DJ,R1401,,1/1/28,,,,,,,2/1/27,,,,,,2/1/28,,,,
1/1/29,,,,,,1/1/30,,,,,,,2/1/29,,,,,,2/1/30,,,,
1/1/31,3,D035,R+DJ,R1409,,1/1/32,,,,,,,2/1/31,,,,,,2/1/32,,,,
1/1/33,3,D017,R+DJ,R1401,,1/1/34,,,,,,,2/1/33,,,,,,2/1/34,,,,
1/1/35,3,D057,R+DJ,R1409,,1/1/36,,,,,,,2/1/35,,,,,,2/1/36,,,,
1/1/37,3,D018,R+DJ,R1401,,1/1/38,103,D053,R+DJ,R2406,,,2/1/37,,,,,,2/1/38,,,,
1/1/39,3,D020,R+DJ,R1401,,1/1/40,3,D008,R+DJ,R1409,,,2/1/39,,,,,,2/1/40,,,,
1/1/41,3,D053,R+DJ,R1401,,1/1/42,,,,,,,2/1/41,,,,,,2/1/42,,,,
1/1/43,,,,,,1/1/44,,,,,,,2/1/43,,,,,,2/1/44,,,,
1/1/45,,,,,,1/1/46,3,D045,R+DJ,R1401,,,2/1/45,,,,,,2/1/46,,,,
1/1/47,,,,,,1/1/48,,,,,,,2/1/47,,,,,,2/1/48,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,Switch 3,,,,,,,,,,,,,,,,,Switch 4,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Port,vLAN,Dj,Alias,Room,,Port,vLAN,Dj,Alias,Room,,,Port,vLAN,Dj,Alias,Room,,Port,vLAN,Dj,Alias,Room
3/1/1,,,,,,3/1/2,,,,,,,4/1/1,,,,,,4/1/2,,,,
3/1/3,,,,,,3/1/4,,,,,,,4/1/3,,,,,,4/1/4,,,,
3/1/5,,,,,,3/1/6,,,,,,,4/1/5,,,,,,4/1/6,,,,
3/1/7,,,,,,3/1/8,,,,,,,4/1/7,,,,,,4/1/8,,,,
3/1/9,,,,,,3/1/10,,,,,,,4/1/9,,,,,,4/1/10,,,,
3/1/11,,,,,,3/1/12,,,,,,,4/1/11,,,,,,4/1/12,,,,
3/1/13,,,,,,3/1/14,,,,,,,4/1/13,,,,,,4/1/14,,,,
3/1/15,,,,,,3/1/16,,,,,,,4/1/15,,,,,,4/1/16,,,,
3/1/17,,,,,,3/1/18,,,,,,,4/1/17,,,,,,4/1/18,,,,
3/1/19,,,,,,3/1/20,,,,,,,4/1/19,,,,,,4/1/20,,,,
3/1/21,,,,,,3/1/22,,,,,,,4/1/21,,,,,,4/1/22,,,,
3/1/23,,,,,,3/1/24,,,,,,,4/1/23,,,,,,4/1/24,,,,
3/1/25,,,,,,3/1/26,,,,,,,4/1/25,,,,,,4/1/26,,,,
3/1/27,,,,,,3/1/28,,,,,,,4/1/27,,,,,,4/1/28,,,,
3/1/29,,,,,,3/1/30,,,,,,,4/1/29,,,,,,4/1/30,,,,
3/1/31,,,,,,3/1/32,,,,,,,4/1/31,,,,,,4/1/32,,,,
3/1/33,,,,,,3/1/34,,,,,,,4/1/33,,,,,,4/1/34,,,,
3/1/35,,,,,,3/1/36,,,,,,,4/1/35,,,,,,4/1/36,,,,
3/1/37,,,,,,3/1/38,,,,,,,4/1/37,,,,,,4/1/38,,,,
3/1/39,,,,,,3/1/40,,,,,,,4/1/39,,,,,,4/1/40,,,,
3/1/41,,,,,,3/1/42,,,,,,,4/1/41,,,,,,4/1/42,,,,
3/1/43,,,,,,3/1/44,,,,,,,4/1/43,,,,,,4/1/44,,,,
3/1/45,,,,,,3/1/46,,,,,,,4/1/45,,,,,,4/1/46,,,,
3/1/47,,,,,,3/1/48,,,,,,,4/1/47,,,,,,4/1/48,,,,
